Participant ID,Age,Gender,Did you use any visual aid with Head Mounted Display?,Have you ever used any Virtual Reality Head Mounted Display?,I felt like I was actually there in the environment of the presentation,It seemed as though I actually took part in the action of the presentation,It was as though my true location had shifted into the environment in the presentation,I felt as though I was physically present in the environment of the presentation,I experienced the environment in the presentation as though I had stepped into a different place,I was convinced that things were actually happening around me,I had the feeling that I was in the middle of the action rather than merely observing,I felt like the objects in the presentation surrounded me,I experienced both the confined and open spaces in the presentation as though I was really there,I was convinced that the objects in the presentation were located on the various sides of my body,Overall how much did touching the things and people in the environment you saw/heard feel like it would if you had experienced them directly?,How much did the heat or coolness (temperature) of the environment you saw/heard feel like it would if you had experienced it directly?,"Overall, how much did the things and people in the environment you saw/heard smell like they would had you experienced them directly?","Overall, how much did the things and people in the environment you saw/heard look they would if you had experience them directly","Overall, how much did the things and people in the environment you saw/heard sound like they would if you had experienced them directly?",To what extent did you feel mentally immersed in the experience?,How involving was the experience?,How completely were your senses engaged?,To what extent did you experience a sensation of reality?,How relaxing or exciting was the experience?,How engaging was the story?,Complicated/Simple,Impractical/Practical,Predictable/Unpredictable,Confusing/Clear,Dull/Captivating,Creative/Unimaginative,Appealing/Repelling,Premium/Cheap,Ugly/Attractive,Bad/Good,Task 1 time,Task 2 time,Task 3 time,Task 4 time,Performance Mode
P1,32,Female,No,Yes,6,6,6,6,6,6,6,6,5,6,5,6,5,6,5,6,6,6,5,6,5,2,2,2,2,2,2,2,0,1,2,11,23,30,12,non_haptics_first
P2,25,Female,No,Yes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,2,3,3,-3,-3,-3,3,3,39,48,74,22,haptics_first
P3,26,Female,Yes,Yes,6,6,6,6,6,6,6,6,6,6,2,2,2,5,5,5,6,6,6,5,6,0,1,-1,-1,1,-1,-2,-1,2,2,15,30,58,29,non_haptics_first
P4,26,Male,No,Yes,6,5,5,5,5,5,6,6,6,6,5,5,4,5,6,6,6,6,6,6,6,2,2,0,2,2,-2,-2,-2,2,2,15,43,36,47,non_haptics_first
P5,25,Female,No,Yes,7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,7,6,7,7,2,3,-2,3,3,-3,-3,-3,3,3,13,82,25,35,haptics_first
P7,28,Male,No,Yes,6,6,4,5,5,5,6,5,5,5,5,3,1,4,4,6,6,6,5,6,6,0,-1,-1,1,2,-2,-1,0,1,1,6,57,28,17,non_haptics_first
P8,25,Female,No,No,7,7,7,7,7,7,7,7,6,6,7,1,1,6,6,6,7,7,6,7,7,3,2,-2,3,3,-3,-3,-2,3,3,10,43,50,21,non_haptics_first
P9,26,Male,Yes,Yes,5,6,6,4,6,4,7,6,7,7,2,4,6,3,5,5,6,4,4,6,7,0,3,-3,3,0,-2,-2,1,1,1,27,94,96,48,non_haptics_first
P10,27,Male,No,No,5,5,5,5,5,4,5,6,4,6,4,5,5,4,5,6,6,6,6,7,7,1,2,-1,2,3,-2,-2,-1,2,3,56,54,97,85,haptics_first
P11,30,Male,No,Yes,6,7,7,6,6,6,6,6,6,7,5,3,1,5,4,6,6,6,6,7,6,1,1,-1,1,2,-2,-2,-2,2,2,9,21,49,29,non_haptics_first
P12,31,Female,Yes,Yes,5,6,6,5,5,5,4,5,5,7,5,1,1,5,5,5,6,5,5,4,6,0,2,-1,1,1,-1,-1,0,1,1,22,90,46,39,haptics_first
P13,27,Male,No,No,7,7,7,6,6,7,7,7,6,7,6,1,1,6,7,6,7,7,5,7,6,3,3,0,3,2,-2,-3,-2,3,3,45,94,90,94,haptics_first
P14,27,Female,Yes,No,7,5,7,7,7,7,7,7,7,7,6,4,3,3,3,7,7,6,6,7,7,0,2,-2,3,3,-3,-3,5,3,3,19,92,94,38,haptics_first
P15,30,Female,Yes,No,7,7,7,7,7,7,5,6,7,7,6,6,7,6,6,7,7,7,7,7,7,3,3,2,2,2,2,2,2,3,3,33,53,89,38,haptics_first
P16,26,Female,No,No,7,7,7,7,7,7,6,7,6,6,5,5,4,4,6,7,7,7,5,7,7,3,3,-2,2,2,5,-3,-2,3,3,22,71,48,53,haptics_first
P17,25,Male,Yes,Yes,5,5,6,6,7,6,6,6,5,6,5,1,1,6,5,6,6,5,6,6,6,0,2,-1,3,3,-1,-2,-2,2,3,13,39,43,31,haptics_first
P18,23,Male,Yes,Yes,7,7,6,7,7,7,7,7,6,7,7,4,1,6,6,7,6,6,6,7,7,-2,-1,-1,1,0,-3,-3,-3,3,2,35,53,54,42,non_haptics_first
P19,26,Male,No,Yes,6,6,6,7,6,7,7,4,5,4,7,1,1,6,6,7,7,6,7,7,7,-1,1,0,1,1,-3,-3,-1,3,3,11,30,25,20,non_haptics_first
