Participant ID,Age,Gender,Did you use any visual aid with Head Mounted Display?,Have you ever used any Virtual Reality Head Mounted Display?,I felt like I was actually there in the environment of the presentation,It seemed as though I actually took part in the action of the presentation,It was as though my true location had shifted into the environment in the presentation,I felt as though I was physically present in the environment of the presentation,I experienced the environment in the presentation as though I had stepped into a different place,I was convinced that things were actually happening around me,I had the feeling that I was in the middle of the action rather than merely observing,I felt like the objects in the presentation surrounded me,I experienced both the confined and open spaces in the presentation as though I was really there,I was convinced that the objects in the presentation were located on the various sides of my body,Overall how much did touching the things and people in the environment you saw/heard feel like it would if you had experienced them directly?,How much did the heat or coolness (temperature) of the environment you saw/heard feel like it would if you had experienced it directly?,"Overall, how much did the things and people in the environment you saw/heard smell like they would had you experienced them directly?","Overall, how much did the things and people in the environment you saw/heard look they would if you had experience them directly","Overall, how much did the things and people in the environment you saw/heard sound like they would if you had experienced them directly?",To what extent did you feel mentally immersed in the experience?,How involving was the experience?,How completely were your senses engaged?,To what extent did you experience a sensation of reality?,How relaxing or exciting was the experience?,How engaging was the story?,Complicated/Simple,Impractical/Practical,Predictable/Unpredictable,Confusing/Clear,Dull/Captivating,Creative/Unimaginative,Appealing/Repelling,Premium/Cheap,Ugly/Attractive,Bad/Good,Task 1 time,Task 2 time,Task 3 time,Task 4 time,Performance Mode
P1,32,Female,No,Yes,4,7,7,4,7,5,7,7,7,7,5,3,1,4,4,7,7,7,5,7,6,2,2,-3,2,2,-2,-3,-2,3,2,19,36,15,15,non_haptics_first
P2,25,Female,No,Yes,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,5,5,6,7,2,3,-3,3,3,-2,-3,-3,3,3,6,100,120,28,haptics_first
P3,26,Female,Yes,Yes,5,6,5,5,6,5,5,5,6,5,5,2,2,5,5,5,5,5,5,5,6,0,1,-1,-2,1,-1,-2,-1,2,1,25,38,146,64,non_haptics_first
P4,26,Male,No,Yes,5,6,5,6,6,6,6,5,6,6,5,4,4,5,5,5,6,7,6,6,6,1,2,0,2,2,-2,-2,-1,2,2,7,28,46,61,non_haptics_first
P5,25,Female,No,Yes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,3,3,-2,2,3,-2,-2,-2,3,3,8,49,24,38,haptics_first
P7,28,Male,No,Yes,5,5,4,5,5,4,6,5,4,3,2,2,1,3,4,6,5,4,4,5,6,0,-1,-2,1,1,-2,-1,-1,1,2,7,37,95,23,non_haptics_first
P8,25,Female,No,No,7,7,6,7,5,7,6,6,6,7,7,1,1,7,6,7,7,6,6,7,7,2,2,-2,1,3,-3,-3,-3,2,3,49,97,102,145,non_haptics_first
P9,26,Male,Yes,Yes,4,6,1,1,1,3,5,5,4,6,2,2,2,3,2,5,6,7,5,5,7,1,3,-3,1,2,-3,0,2,-2,1,26,30,38,48,non_haptics_first
P10,27,Male,No,No,4,4,5,4,4,4,5,4,5,4,5,4,5,5,5,5,5,6,5,5,6,2,2,-2,2,2,-1,-2,-1,3,3,21,104,101,93,haptics_first
P11,30,Male,No,Yes,6,6,5,5,6,5,6,6,6,5,4,4,1,4,3,6,6,4,4,7,6,0,0,1,0,2,-2,-2,-1,2,1,49,29,100,43,non_haptics_first
P12,31,Female,Yes,Yes,5,5,5,5,5,5,5,5,5,4,2,1,1,1,1,3,3,2,2,3,6,-2,-1,-2,1,-1,-2,0,2,2,-1,35,47,31,31,haptics_first
P13,27,Male,No,No,7,7,7,7,6,7,7,7,7,6,1,1,1,5,6,7,7,6,5,6,6,3,1,1,3,2,-2,-2,-2,3,3,24,93,91,55,haptics_first
P14,27,Female,Yes,No,7,7,7,6,7,6,7,6,7,7,6,5,1,3,6,7,7,7,6,7,7,-1,3,-2,3,3,-3,-3,-3,3,3,30,36,50,34,haptics_first
P15,30,Female,No,No,7,7,6,7,7,7,7,5,7,6,6,7,7,7,6,7,7,6,7,7,7,3,3,2,3,3,3,2,2,3,3,20,35,33,51,haptics_first
P16,26,Female,No,No,7,7,7,7,7,6,6,7,6,7,7,7,2,6,6,7,7,7,7,7,7,3,3,-3,3,3,-3,-3,-2,3,3,12,35,44,18,haptics_first
P17,25,Male,Yes,Yes,6,6,7,6,6,5,5,6,5,7,5,1,1,5,6,6,6,5,6,7,6,2,2,0,2,3,-2,-2,-2,2,2,6,47,27,31,haptics_first
P18,23,Male,Yes,Yes,6,7,6,6,7,6,7,7,5,7,5,4,1,5,6,6,7,5,5,6,6,0,-1,-2,2,0,-3,-3,-3,2,2,41,34,51,30,non_haptics_first
P19,26,Male,No,Yes,6,5,5,5,4,5,6,7,5,5,5,1,1,5,5,6,7,6,6,5,6,1,0,0,2,1,-1,-2,-1,1,2,15,32,39,28,non_haptics_first
